C, thresh, fscore, accuracy, precision, recall
0.0005, 0.7, 0.7089066115065221, 0.7558430791769146, 0.7226613078121398, 0.7558430791769146
0.0005, 0.75, 0.7218893792761258, 0.7595840068201388, 0.7273498733575592, 0.7595840068201388
0.0005, 0.8, 0.7323456507750359, 0.7620066806336834, 0.7311552938817629, 0.7620066806336834
0.0005, 0.85, 0.7455769473543509, 0.7656049867949302, 0.7400791641119115, 0.7656049867949302
0.0005, 0.9, 0.7548744218098754, 0.7648567936499897, 0.7491905428176434, 0.7648567936499897
0.001, 0.7, 0.71172095211155, 0.757196888413209, 0.7257432531975307, 0.757196888413209
0.001, 0.75, 0.7231214968496534, 0.7601541436678341, 0.7289637590569689, 0.7601541436678341
0.001, 0.8, 0.7363036480596729, 0.764536280890505, 0.7356140506675427, 0.764536280890505
0.001, 0.85, 0.746263578770048, 0.7655337998187448, 0.7406646264647421, 0.7655337998187448
0.001, 0.9, 0.7570538584352945, 0.7662819168007293, 0.7515024794329127, 0.7662819168007293
0.0015, 0.7, 0.7127206958653922, 0.7574462776656384, 0.7263217048550263, 0.7574462776656384
0.0015, 0.75, 0.724505161048406, 0.7610803740692808, 0.7306531697064248, 0.7610803740692808
0.0015, 0.8, 0.7367528019186631, 0.7644649733229727, 0.7358329580983787, 0.7644649733229727
0.0015, 0.85, 0.74856372285322, 0.7671726679585175, 0.7431327468534604, 0.7671726679585175
0.0015, 0.9, 0.7573023870273128, 0.7661394095631857, 0.7518302724448194, 0.7661394095631857
0.002, 0.7, 0.71329955639933, 0.7576600290015842, 0.7273319408485165, 0.7576600290015842
0.002, 0.75, 0.7251019641642464, 0.7612941444459655, 0.7311629063100006, 0.7612941444459655
0.002, 0.8, 0.7378121224769421, 0.764928113911348, 0.7368114656193006, 0.764928113911348
0.002, 0.85, 0.7495103545408239, 0.767493307656262, 0.7440616119817494, 0.767493307656262
0.002, 0.9, 0.7581133502059421, 0.7668518632410346, 0.7526359568751707, 0.7668518632410346
0.0005, 0.95, 0.7556415005852779, 0.7528145861708001, 0.7642289214462428, 0.7528145861708001
0.001, 0.95, 0.7563804883596361, 0.7529571886120386, 0.7652181267345678, 0.7529571886120386
0.0015, 0.95, 0.7558108742611888, 0.7517102423498911, 0.7655699226883786, 0.7517102423498911
0.002, 0.95, 0.7548151820160595, 0.7503208205847651, 0.7652767977227498, 0.7503208205847651
0.0025, 0.7, 0.7130064475987938, 0.7573750145264971, 0.7271481346833825, 0.7573750145264971
0.0025, 0.75, 0.7263103722586031, 0.7617216978931612, 0.732347482969921, 0.7617216978931612
0.0025, 0.8, 0.7383454993083058, 0.7649993326220983, 0.7373775821311808, 0.7649993326220983
0.0025, 0.85, 0.7491062089653203, 0.7666738577190934, 0.7434583925028344, 0.7666738577190934
0.0025, 0.9, 0.7582050323264707, 0.766424379609882, 0.7528846276028723, 0.766424379609882
0.0025, 0.95, 0.7550866236553564, 0.7503920837239064, 0.7657202532170679, 0.7503920837239064
0.003, 0.7, 0.714246558568189, 0.7577669300572092, 0.7277908790829037, 0.7577669300572092
0.003, 0.75, 0.7268023639897863, 0.7620067187151613, 0.7327585262452152, 0.7620067187151613
0.003, 0.8, 0.7381861769977227, 0.7646074551728643, 0.7368208777748275, 0.7646074551728643
0.003, 0.85, 0.7486032725033359, 0.7660325529359518, 0.7429440821329579, 0.7660325529359518
0.003, 0.9, 0.7578973920994839, 0.7657830240514364, 0.7527139635533998, 0.7657830240514364
0.003, 0.95, 0.7536698069271179, 0.7484326076209543, 0.7653724804976159, 0.7484326076209543
0.0035, 0.7, 0.7144758454861753, 0.7581232076714375, 0.7287996334816775, 0.7581232076714375
0.0035, 0.75, 0.7278423431245349, 0.7625766841962056, 0.7337538694100612, 0.7625766841962056
0.0035, 0.8, 0.738086205659658, 0.7642867837405545, 0.7367429215795774, 0.7642867837405545
0.0035, 0.85, 0.7496858580256871, 0.7665313250938979, 0.7440672767249984, 0.7665313250938979
0.0035, 0.9, 0.7570917353868849, 0.7648567047932078, 0.7519254760658209, 0.7648567047932078
0.0035, 0.95, 0.7521691823532187, 0.7464374682138664, 0.76447804084865, 0.7464374682138664
0.004, 0.7, 0.714316413040115, 0.7579450688643234, 0.7285893631661284, 0.7579450688643234
0.004, 0.75, 0.7269474980282555, 0.7618641543554008, 0.7329865813698205, 0.7618641543554008
0.004, 0.8, 0.7387357622933817, 0.7646074678666903, 0.7373870765042374, 0.7646074678666903
0.004, 0.85, 0.7500601227915235, 0.7668163586097239, 0.7444733245439564, 0.7668163586097239
0.004, 0.9, 0.757068442545771, 0.7645717474403375, 0.7520054530014226, 0.7645717474403375
0.004, 0.95, 0.751632410296449, 0.7457605318611542, 0.7640561539200521, 0.7457605318611542
0.0045, 0.7, 0.7143498300664175, 0.7578738247659211, 0.7289470809424564, 0.7578738247659211
0.0045, 0.75, 0.7270088845583225, 0.7615791081457488, 0.7326095761882236, 0.7615791081457488
0.0045, 0.8, 0.7385168309075821, 0.7643224216570382, 0.7371215810364145, 0.7643224216570382
0.0045, 0.85, 0.750206061712295, 0.7668519901792946, 0.7445620510902736, 0.7668519901792946
0.0045, 0.9, 0.7568462334013548, 0.7640730133638697, 0.7518850345325004, 0.7640730133638697
