C, gamma, fscore, accuracy, precision, recall
1, 0.6, 0.8251532928529007, 0.8314450188189143, 0.8235263062180523, 0.8314450188189143
1, 0.7, 0.8246464116268614, 0.8309106150913979, 0.8229962508283588, 0.8309106150913979
1.5, 0.3, 0.8246236127028972, 0.8310531477165934, 0.8230158004926226, 0.8310531477165934
1.5, 0.4, 0.8251216184598661, 0.8313381748855064, 0.8234248232874524, 0.8313381748855064
1.5, 0.5, 0.825278095797658, 0.8311600043438272, 0.823480677992977, 0.8311600043438272
1.5, 0.6, 0.8245969529574648, 0.8304118302396258, 0.8227517788002074, 0.8304118302396258
1.5, 0.7, 0.823936347806348, 0.8297349129276526, 0.8220317069804288, 0.8297349129276526
0.75, 0.3, 0.8248976658960977, 0.8322644433684312, 0.8239527658349661, 0.8322644433684312
0.75, 0.4, 0.8245701197088573, 0.8316944271120829, 0.8234098137423874, 0.8316944271120829
0.75, 0.5, 0.8243306331297624, 0.8312668736648872, 0.823000010235622, 0.8312668736648872
0.75, 0.6, 0.8241539653528207, 0.830981884577452, 0.8227716701240233, 0.830981884577452
0.75, 0.7, 0.8245536828013048, 0.8313738381896421, 0.8232328400422222, 0.8313738381896421
0.75, 0.8, 0.8244789951614037, 0.8313738001081641, 0.8232533274548226, 0.8313738001081641
0.75, 0.9, 0.8237454402073909, 0.8307681142007672, 0.82255303331423, 0.8307681142007672
0.75, 1, 0.8221749988080541, 0.8296636561354245, 0.8212266234222131, 0.8296636561354245
0.75, 1.1, 0.8208952751549912, 0.8289155518472657, 0.8203083424539855, 0.8289155518472657
0.75, 1.2, 0.8174569540257158, 0.826314764614259, 0.8173214407858784, 0.826314764614259
1.25, 0.3, 0.8244572551047558, 0.8311600551191312, 0.8229976186461796, 0.8311600551191312
1.25, 0.4, 0.8248543359600479, 0.8312312865237075, 0.82323231332761, 0.8312312865237075
1.25, 0.5, 0.825067456449536, 0.8311243664273436, 0.8233328704134053, 0.8311243664273436
1.25, 0.6, 0.8252980429100759, 0.8312669244401911, 0.8235332469802399, 0.8312669244401911
1.25, 0.7, 0.8245873680573492, 0.8305899436590881, 0.8228159043681484, 0.8305899436590881
1.25, 0.8, 0.8242360549466813, 0.8302336787386855, 0.8224300744324602, 0.8302336787386855
1.25, 0.9, 0.8232287650055928, 0.8294143303521249, 0.8214982302359115, 0.8294143303521249
1.25, 1, 0.822687040768176, 0.8290936462259891, 0.8210211199633626, 0.8290936462259891
1.25, 1.1, 0.8215606700134395, 0.8283098913275209, 0.8199925792036147, 0.8283098913275209
1.25, 1.2, 0.8195649907731065, 0.8267778798149823, 0.8181956444649103, 0.8267778798149823
1.75, 0.3, 0.8244854997872835, 0.8308393709929953, 0.8228244940958291, 0.8308393709929953
1.75, 0.4, 0.8245159326267473, 0.8305186868668597, 0.8226978951856398, 0.8305186868668597
