C, fscore, accuracy, precision, recall
0.007, 0.8184699095876293, 0.8247470771037589, 0.8163110752069223, 0.8247470771037589
0.008, 0.818435276949921, 0.8245333130739871, 0.8162391754188911, 0.8245333130739871
0.0085, 0.8184107458079455, 0.8244264056714492, 0.8161944246938697, 0.8244264056714492
0.009, 0.8183162041668334, 0.824248209742118, 0.8160912219631035, 0.824248209742118
0.0095, 0.8184368340823308, 0.8243194919219983, 0.8161964750282088, 0.8243194919219983
0.01, 0.8180725630257186, 0.823856306905232, 0.8158344642198341, 0.823856306905232
0.011, 0.818343896901083, 0.8240700899757426, 0.8161282774243024, 0.8240700899757426
