,clf,fscore,accuracy
0,Stacked Linear SVM & LogReg,0.8209914325855927,0.8226449731719161
1,Stacked RBF & Linear SVM,0.8274180092519495,0.8334402280420452
2,Stacked RBF & LogReg,0.826603863794085,0.8295211996731847
3,"Stacked Linear, RBF & LogReg",0.8273936780913795,0.8297705444972234
