dim, fscore, accuracy, precision, recall
25, 0.7827891948031446, 0.7970072147501559, 0.7820559885789274, 0.7970072147501559
50, 0.8067332734747457, 0.8170036519105728, 0.8059452087652331, 0.8170036519105728
75, 0.8122557754161736, 0.8217689498530328, 0.8113724060972498, 0.8217689498530328
100, 0.8178610955792349, 0.826534247795493, 0.817262732470977, 0.826534247795493
125, 0.8217849579238488, 0.8299634808942727, 0.8212644997325669, 0.8299634808942727
150, 0.8263626544695715, 0.83423888839405, 0.8261665822744511, 0.83423888839405
175, 0.8284138495797261, 0.8361093791752027, 0.8280731372165123, 0.8361093791752027
200, 0.8295073357549773, 0.837178231050147, 0.8294642193718172, 0.837178231050147
