,clf,fscore,accuracy
0,Adaboost LogReg,0.6996222888605774,0.5892387038553344
1,Adaboost Decision Tree,0.7150136925127561,0.6624386840324015
2,Logisitc Regression,0.8254597084951717,0.8210308892389045
3,Bagging LogReg,0.8256021776512373,0.8214784590328245
